sweep,Eb_primal,Eu_primal,Eb_dual,Eu_dual,time_primal,time_dual
0,1.004199105,1.004199105,98.18285194,98.18285194,0,0
1,0.9955437225,0.9955458042,5.422945086,4.622821559,0.2705852783,0.1878512633
2,0.9857542939,0.9857518564,2.004910388,1.090365733,0.5411705565,0.3757025266
3,0.9754122195,0.9754057309,1.357338224,0.4078666601,0.8117558348,0.5635537899
4,0.9655629437,0.9655463347,1.147278984,0.1793585644,1.082341113,0.7514050531
5,0.9558167643,0.9557993202,1.026776844,0.06519139613,1.352926391,0.9392563164
6,0.9460037426,0.9459825168,1.005211744,0.04373560074,1.62351167,1.12710758
7,0.9372861838,0.9372630865,0.985660783,0.02032596982,1.894096948,1.314958843
8,0.9274342566,0.9274090328,1.008126955,0.01636474418,2.164682226,1.502810106
9,0.9185983642,0.9185732161,0.996879559,0.04825893026,2.435267504,1.69066137
10,0.9097138926,0.9096867227,1.000971549,0.006162587739,2.705852783,1.878512633
11,0.8998156447,0.8997858399,0.9890203028,0.03044828335,2.976438061,2.066363896
12,0.8916379329,0.8916064116,0.9785204795,-0.01722178844,3.247023339,2.254215159
13,0.8819133202,0.8818846458,1.016239726,-0.003591923175,3.517608618,2.442066423
14,0.8728317083,0.8727989056,0.9896659245,0.007282047804,3.788193896,2.629917686
15,0.8632688573,0.8632331719,1.009327739,0.01828323084,4.058779174,2.817768949
16,0.8544009353,0.8543681198,0.9812360967,-0.02748405067,4.329364452,3.005620213
17,0.8452663614,0.8452297149,0.9855029521,-0.01490191255,4.599949731,3.193471476
18,0.8369011011,0.8368627507,0.9685341188,-7.727768e-05,4.870535009,3.381322739
19,0.8294997512,0.8294594983,0.9628887255,-0.009841528977,5.141120287,3.569174002
20,0.8213920437,0.8213501148,0.9767740568,0.007908214719,5.411705565,3.757025266
21,0.8137354747,0.8136983041,0.9572656318,-0.02660567503,5.682290844,3.944876529
22,0.8043691623,0.8043351649,1.000974925,0.008087544322,5.952876122,4.132727792
23,0.7962147902,0.7961792369,0.9782082229,0.005903856056,6.2234614,4.320579056
24,0.7884147702,0.7883738248,0.9821541641,-0.01810785576,6.494046679,4.508430319
25,0.7787440427,0.7787025165,0.9812434268,0.01401654834,6.764631957,4.696281582
26,0.77074469,0.7707092241,0.9502999594,-0.06278676112,7.035217235,4.884132845
27,0.7631833316,0.7631381797,1.020780351,0.05418069402,7.305802513,5.071984109
28,0.7545167653,0.7544702197,0.9948072121,0.03582828525,7.576387792,5.259835372
29,0.7463736434,0.746322211,0.9788993027,0.0122612083,7.84697307,5.447686635
30,0.738919464,0.7388692859,0.9706630892,0.0006643242208,8.117558348,5.635537899
31,0.7301416561,0.7300912338,0.9606098429,-0.02123589661,8.388143626,5.823389162
32,0.7242166318,0.7241650912,0.9731422738,-0.002662251049,8.658728905,6.011240425
33,0.7177232918,0.7176753856,0.966060361,-0.02052618905,8.929314183,6.199091688
34,0.7096599828,0.7096078673,0.9790495629,0.004894208775,9.199899461,6.386942952
35,0.7013118233,0.7012543013,1.00461201,0.05033027545,9.47048474,6.574794215
36,0.6933092396,0.693248382,0.9711585036,-0.01478143492,9.741070018,6.762645478
37,0.6865800958,0.686496306,0.9757199074,0.02233697588,10.0116553,6.950496742
38,0.680525006,0.680434964,0.9668371149,-0.04776465881,10.28224057,7.138348005
39,0.6738513997,0.673766481,0.977147595,-0.02464820127,10.55282585,7.326199268
40,0.6680050126,0.667920828,0.977255316,0.0121644814,10.82341113,7.514050531
41,0.6622247257,0.6621404548,0.9726053447,0.03212638917,11.09399641,7.701901795
42,0.6556702943,0.65558044,0.9471010202,0.02039062737,11.36458169,7.889753058
43,0.650033015,0.6499453385,0.9439982825,-0.02752583319,11.63516697,8.077604321
44,0.641863015,0.6417740296,0.9496802285,-0.0381325183,11.90575224,8.265455585
45,0.634698735,0.6346253576,0.9852477089,0.01254223453,12.17633752,8.453306848
46,0.6293690482,0.6292848732,0.9568124002,-0.06905987046,12.4469228,8.641158111
47,0.6223914853,0.6223002732,0.9780976958,-0.0009775216082,12.71750808,8.829009374
48,0.616350025,0.6162604468,0.990832954,0.0004767184908,12.98809336,9.016860638
49,0.6127134473,0.612614662,0.9940907324,0.02283645376,13.25867864,9.204711901
50,0.6081455719,0.6080396419,0.9601297542,-0.02908600907,13.52926391,9.392563164
51,0.6024864035,0.6023711942,1.027799825,0.06450496172,13.79984919,9.580414428
52,0.5957686336,0.5956462621,0.9548563362,-0.01093719041,14.07043447,9.768265691
53,0.5905288859,0.5904022198,0.9890848279,0.008021673435,14.34101975,9.956116954
54,0.5850079879,0.5848825178,0.942962721,-0.03367688369,14.61160503,10.14396822
55,0.5797489769,0.5796295234,0.9718047994,-0.02140577216,14.8821903,10.33181948
56,0.5736049341,0.5734714206,0.9813874959,0.02266173723,15.15277558,10.51967074
57,0.5664331563,0.5662975038,0.9739276832,-0.001649748249,15.42336086,10.70752201
58,0.5621695934,0.5620207363,1.005305215,0.02598528904,15.69394614,10.89537327
59,0.5567776298,0.556626905,0.9804830403,-0.005485022318,15.96453142,11.08322453
60,0.5502440627,0.5500618983,0.9843777668,0.004271897567,16.2351167,11.2710758
61,0.5445181286,0.5443308115,0.9985620245,0.01105168279,16.50570197,11.45892706
62,0.5395734541,0.5393700882,0.9608827789,-0.01494669544,16.77628725,11.64677832
63,0.5349930533,0.534793697,0.9627057961,-0.03246381652,17.04687253,11.83462959
64,0.5303076634,0.5301466591,0.9912194851,-0.01706858043,17.31745781,12.02248085
65,0.525325762,0.5251733911,0.9722359664,0.03229797207,17.58804309,12.21033211
66,0.5196133104,0.519437828,0.9568648449,-0.0111500502,17.85862837,12.39818338
67,0.5139770311,0.51379909,1.021045596,0.05406988537,18.12921364,12.58603464
68,0.5088753679,0.5086902979,0.9871362329,0.04045580529,18.39979892,12.7738859
69,0.5033531652,0.5031608184,1.002561931,-0.01097622853,18.6703842,12.96173717
70,0.4982765664,0.4980528838,0.980817293,-0.0004112283512,18.94096948,13.14958843
71,0.4903537186,0.4901070465,0.9883204179,-0.003438393023,19.21155476,13.33743969
72,0.486369858,0.4861504128,1.002481765,0.0366182333,19.48214004,13.52529096
73,0.4800868422,0.4798503065,0.9768369662,-0.01589958181,19.75272531,13.71314222
74,0.4744807132,0.4741995936,0.9895586614,-0.003298717488,20.02331059,13.90099348
75,0.4677763019,0.4674915409,0.9812237878,0.0005029837994,20.29389587,14.08884475
76,0.4634601748,0.4631880914,0.9763738027,-0.001111379522,20.56448115,14.27669601
77,0.4594231457,0.459170144,0.9430849033,-0.03971710942,20.83506643,14.46454727
78,0.4535565159,0.4532841837,1.026801169,0.03603442728,21.10565171,14.65239854
79,0.4476193393,0.4473110423,0.9689904913,-0.004328374443,21.37623698,14.8402498
80,0.4433184143,0.4430082604,0.9816459476,0.007499944452,21.64682226,15.02810106
81,0.4391878594,0.4389018962,1.001771334,0.02240076317,21.91740754,15.21595233
82,0.4337451498,0.4334655276,0.9628611918,-0.02198976982,22.18799282,15.40380359
83,0.4291964517,0.4289024798,0.9832922745,0.005972957896,22.4585781,15.59165485
84,0.4252169524,0.4248967799,0.968436873,-0.0004869193146,22.72916337,15.77950612
85,0.4213830171,0.4210461728,0.9752278888,-0.001230288188,22.99974865,15.96735738
86,0.4172606816,0.4168868035,0.9379334754,-0.04661287983,23.27033393,16.15520864
87,0.413063002,0.4126773469,0.9591325486,-0.03652294057,23.54091921,16.34305991
88,0.4078844378,0.4075416405,0.971895341,-0.003730387363,23.81150449,16.53091117
89,0.404207071,0.4038567123,1.022610804,0.06456820504,24.08208977,16.71876243
90,0.399890833,0.3995277024,0.9320133481,-0.06539857183,24.35267504,16.9066137
91,0.3953438168,0.3949481668,0.9610209361,0.001559298048,24.62326032,17.09446496
92,0.3895208046,0.3891785655,0.9743017079,0.001496289965,24.8938456,17.28231622
93,0.3840303836,0.3836847966,0.9701549052,0.01257979733,25.16443088,17.47016749
94,0.3804418796,0.3800976393,0.9922516373,0.01160907583,25.43501616,17.65801875
95,0.3769570391,0.3766703046,0.9886343548,0.01291451084,25.70560144,17.84587001
96,0.3721971122,0.371909807,0.9446175915,-0.009247387185,25.97618671,18.03372128
97,0.3677632277,0.3675140316,1.012897741,0.04064893793,26.24677199,18.22157254
98,0.3653217078,0.3650933273,0.9762517241,0.0422070973,26.51735727,18.4094238
99,0.3605147832,0.3602783532,0.9826992203,0.01407282911,26.78794255,18.59727507
100,0.3568095115,0.3565601288,0.9947783851,0.01335745188,27.05852783,18.78512633
101,0.3535662814,0.3533021737,1.010248719,0.0489120082,27.32911311,18.97297759
102,0.3478936079,0.3476161223,0.953759225,0.0285165167,27.59969838,19.16082886
103,0.3447193864,0.3444331075,1.002579542,0.00687361254,27.87028366,19.34868012
104,0.3417728247,0.3415124552,0.9962917373,0.0194625481,28.14086894,19.53653138
105,0.3396561828,0.3393753827,0.9859545073,-0.02915009308,28.41145422,19.72438264
106,0.3356361094,0.3353986119,1.013760098,0.008095115849,28.6820395,19.91223391
107,0.3322011402,0.3320080315,0.9926031573,0.06361704572,28.95262478,20.10008517
108,0.3303891132,0.3301877581,0.9683858349,-0.009131532373,29.22321005,20.28793643
109,0.3273707091,0.3271673037,0.9801957635,-0.01644102488,29.49379533,20.4757877
110,0.3263091676,0.3260919257,0.977266815,0.009098861549,29.76438061,20.66363896
111,0.3230277016,0.3228247057,1.014326941,0.02323837655,30.03496589,20.85149022
112,0.3212598022,0.3210676423,0.9550437905,-0.05914072036,30.30555117,21.03934149
113,0.3194709771,0.3192619375,0.9781405106,-0.03380184344,30.57613644,21.22719275
114,0.3159672192,0.3157567342,0.9550504368,-0.02804683693,30.84672172,21.41504401
115,0.3131108047,0.3128495983,0.969117076,-0.02470900259,31.117307,21.60289528
116,0.3092581835,0.3090234741,0.9855673686,0.003345757035,31.38789228,21.79074654
117,0.3067862402,0.3065165917,0.9903094785,0.01352642288,31.65847756,21.9785978
118,0.303355114,0.3031106793,0.9906656436,-0.00766288001,31.92906284,22.16644907
119,0.299610075,0.2993639995,0.9886114388,-0.01197183065,32.19964811,22.35430033
120,0.2967736869,0.2964779101,0.98693811,-0.003223005162,32.47023339,22.54215159
121,0.2950462924,0.294708335,0.9608346402,-0.01289721872,32.74081867,22.73000286
122,0.2926771695,0.2923853043,0.9839256026,-0.01279788913,33.01140395,22.91785412
123,0.2888805944,0.288565899,0.9754215721,0.02539698474,33.28198923,23.10570538
124,0.2850450727,0.2847295715,0.9981844292,0.008820085727,33.55257451,23.29355665
125,0.2806317755,0.2803073155,1.003812155,0.01524172813,33.82315978,23.48140791
126,0.2779124673,0.2775485464,0.971752559,-0.03972218406,34.09374506,23.66925917
