sweep,Eu_primal_k2,Eu_dual_k2,Eu_primal_k4,Eu_dual_k4,Eu_primal_k8,Eu_dual_k8,Eu_primal_k16,Eu_dual_k16,Eu_primal_k32,Eu_dual_k32
0,3.697118112,1015.781153,0.9987968708,3879.420567,0.9711550349,15327.85251,0.9775968592,61645.66033,0.9866427839,247486.1186
1,2.373461074,44.81434127,0.7981937787,47.23547051,0.8879489359,7.01888819,0.9412719591,0.01187301656,0.9699496448,0.03590231638
2,1.935584781,4.904068589,0.7212301109,2.531564284,0.8482837601,0.01320275385,0.9213026068,0.02123723452,0.9599149109,0.02071537546
3,1.655487642,0.8982127455,0.6665795518,0.2596121808,0.8175748874,0.01084456617,0.9045945657,0.006984399022,0.95119679,0.02799271278
4,1.436429002,0.2531214176,0.6241989912,0.04378004838,0.7913514741,-0.006758675642,0.8902170892,0.01289952669,0.9434929635,0.01632424438
5,1.259772351,0.1146875188,0.5823360496,0.00883624567,0.7658709413,0.01123731848,0.8758371325,0.01792462977,0.9357808512,0.03150162346
6,1.100769334,0.06886893082,0.546471992,0.0137484741,0.7425785931,0.01198042451,0.8624064852,-0.01526382345,0.9285525346,0.009950130652
7,0.9579285987,0.0473996135,0.5134391547,-0.007637392363,0.7198328395,0.01001851671,0.8489578434,0.013230464,0.9212648306,0.02330632236
8,0.837604583,0.03843305698,0.4838971624,0.011959088,0.6975763373,0.01435165014,0.8355058335,0.005150711025,0.9139778107,0.01551594764
9,0.7398387613,0.04116281285,0.4573228979,0.0007252266749,0.6762936459,0.006478448383,0.822784756,0.01690614856,0.9069417932,0.01365595132
10,0.6499497622,0.03341368262,0.4277846968,0.009741877087,0.6542691985,0.007594844925,0.8095346846,0.01189714837,0.8997085461,0.01051759399
11,0.5671511065,0.01687655335,0.400775052,0.003678480032,0.6324732375,0.007334299764,0.7961436349,-0.0003898543059,0.8922261582,0.006852843829
12,0.4927697569,0.02131357546,0.3731838578,0.0008429955742,0.6108599734,-0.004188358354,0.7821043894,0.008880456764,0.8845378231,0.002120823094
13,0.4357578099,0.001822364287,0.3499947479,-0.001728760461,0.5908668505,-0.004294590499,0.7692755657,-0.005868848406,0.8771316898,-0.001058172992
14,0.388213231,-0.00356919421,0.3305493311,-0.0004147697908,0.5738511691,0.00127613775,0.7576028051,0.01144340185,0.8704518257,0.00896207293
15,0.3460867036,0.01333784111,0.3114527551,0.001260299489,0.55811527,0.003062591888,0.7467656773,0.007586934876,0.8641442317,0.007016264269
16,0.3011795232,0.006164287022,0.2938456888,0.0003849917993,0.5423520297,-0.006417944782,0.7361041109,0.008785587912,0.8580082369,-0.004279136423
17,0.2644261577,0.0005177468557,0.2783580778,0.001764509201,0.5262061082,0.01268363689,0.7253853478,-0.0008869105215,0.8516850096,0.009345100785
18,0.2332177034,-0.0003142855684,0.2611895415,0.002318791523,0.5095256337,0.005387470969,0.7141117239,0.006734474655,0.844961265,0.03064131565
19,0.2063304469,0.0006570630804,0.2469802546,-0.007944495732,0.4950112387,0.004261388388,0.703924561,0.007499393734,0.8387318132,0.0003268366959
20,0.183944234,0.003374214598,0.2305866373,-0.01465103952,0.4774989087,-0.01819866484,0.6918269048,0.01850567631,0.8315875911,0.007875439969
21,0.1602700035,0.006397342681,0.2164705961,-0.01042804201,0.4632731912,0.003301709686,0.6815982051,0.0009298233487,0.8253618043,-0.007416177981
22,0.1416540775,0.01181215219,0.2033818889,0.01065073336,0.45112458,-0.01004570775,0.6715878471,0.007604724647,0.8191870032,0.01075462576
23,0.1211270388,0.004076329714,0.1898015788,-0.002070631671,0.4370553287,-0.005562996177,0.6603500468,-0.001740325497,0.8121969944,-0.006231395516
24,0.1097444483,0.004643007317,0.1779298686,0.01367230124,0.4230354858,-0.006920766283,0.6496670476,0.02104642124,0.8054567377,-0.01513061599
25,0.1007248521,0.0105018829,0.1688765365,0.01474145298,0.4105679854,0.0006806886327,0.6403714246,0.007235679796,0.7994740467,-0.006201994859
26,0.08800024654,0.002988161962,0.1587813307,-0.0005544973068,0.3977875419,0.008587700491,0.6302242794,0.01269543239,0.7931228278,0.02217837525
27,0.08047827491,-0.01521408118,0.148801912,0.008959295152,0.3848998444,-0.00310419784,0.6203489572,-0.0162891728,0.7868199244,0.002979541784
28,0.07203373763,0.002368513244,0.1429989193,0.001866325317,0.3759386908,0.00281724356,0.6124902994,0.004591361575,0.7818466515,0.009432126888
29,0.06360105375,-0.006863306718,0.1368940574,0.01371532045,0.3669774787,-0.001020769189,0.604582416,0.0006372776998,0.7768303275,-0.006988799859
30,0.0541619462,-0.004867446628,0.1282244822,0.001214469884,0.3541772917,-0.01439439238,0.5946508809,-0.000360877711,0.7702839684,0.005517816696
31,0.04520740879,-0.001063660447,0.1205588409,-0.009993579212,0.3427817335,-0.007420020891,0.5854396385,0.01085953834,0.7641461315,-0.01552608791
32,0.04018679554,0.002635110475,0.1150408863,0.01271471676,0.3342157299,0.01360888413,0.5774815594,-0.005609734674,0.7591242138,0.007072008842
33,0.03431465244,-0.0003883742373,0.1081235457,0.01352358619,0.3236199989,0.001919134267,0.5680616974,0.0004955961499,0.7530476274,-0.01868515916
34,0.02761733257,-0.01300495979,0.1002017431,-0.01268848361,0.3127663047,-0.008256311809,0.5578639061,0.006809496971,0.7464657955,0.006416277083
