sweep,Eu_primal_random,Eu_dual_random,Eu_primal_permutation,Eu_dual_permutation,Eu_primal_fixed,Eu_dual_fixed
0,1.253014459,5952.72163,1.24834076,5891.311698,1.254854158,5906.785684
1,0.7659784009,68.46695914,0.6800140688,11.46441689,0.7190928904,114.28772
2,0.6335994995,3.238669997,0.5813275597,0.3000514539,0.5910965428,2.621503726
3,0.5607177794,0.302705871,0.5096516484,0.04863415282,0.5008378266,0.1511846392
4,0.5088953241,0.121321122,0.4403576558,0.0095593386,0.4236883655,0.003607914809
5,0.461805857,0.01526546616,0.3763645952,0.01866588149,0.3504605203,0.04702930851
6,0.4209511649,0.02463747543,0.3213086232,-0.0143102096,0.2871489992,0.02702855476
7,0.3803332981,0.04207068613,0.2757402837,-0.0219197689,0.2413386903,0.007222280582
8,0.3487691013,0.01878091253,0.2396047512,0.02493070754,0.2027520393,-0.02550125546
9,0.3178436302,-0.01598503157,0.207367837,-0.03196352998,0.1718523503,0.01698463851
10,0.2934660366,0.009250645528,0.1792173281,0.02617524665,0.1527921577,0.04044231502
11,0.2676762374,0.04888393047,0.1553774548,-0.03236045417,0.1295168918,0.007857496783
12,0.2424831324,0.01756608887,0.1350780798,0.06349571156,0.107757896,0.0376893115
13,0.2220264154,-0.05192505819,0.1181566378,-0.01705862586,0.08941386035,-0.06160929716
14,0.2067978863,0.02638676339,0.1028426059,0.01896470955,0.07705931485,0.0269885107
15,0.1900989837,0.05799767551,0.08907503694,0.03353574517,0.06506943786,0.001204334456
16,0.17252912,-0.02726103677,0.07717846729,-0.005893991776,0.05410362461,0.002809158111
17,0.1608647304,0.01887589605,0.0659982079,0.001560088233,0.0442385194,0.03568404778
18,0.1472633478,0.03486519931,0.05667142875,0.0367218213,0.03517425495,-0.02231911482
19,0.1331226737,0.03949585682,0.05020997121,0.01158876502,0.0312415312,-0.02364385871
20,0.1196564726,0.007237782478,0.04418240463,0.01390305377,0.02491624903,0.05017447324
21,0.1074840018,0.02984435721,0.04031661989,-0.01322213873,0.02251424236,0.004465214154
22,0.1023137221,-0.02458571698,0.03291738766,-0.001629211652,0.01623162051,-0.004042850489
23,0.09213706451,0.05513016128,0.02950466901,0.01868888355,0.01526443193,0.01413836282
24,0.08172655659,0.0338199833,0.02457037863,-0.01028945082,0.01085923863,0.02949061608
25,0.0738161422,0.009669000152,0.02138291671,0.0565030657,0.008941443467,-0.01063603714
26,0.06675587011,0.01405738389,0.01820381619,0.02302236031,0.007614180357,-0.0164271301
27,0.06322827145,0.01770188745,0.01595688713,0.06248492706,0.007065571887,-0.00114013455
28,0.05941535273,0.02355219771,0.01252434304,-0.04154506202,0.00530840948,-0.02056234274
29,0.05534802395,-0.0003472645236,0.0103839439,0.02146778771,0.004612485147,0.02602744732
30,0.05010400651,0.00969413401,0.008324233778,0.005821567265,0.004153339244,-0.01976539013
31,0.04598679446,-0.01982329481,0.007757182328,0.01743916625,0.004450484767,-0.01937747083
32,0.04146290986,0.04577176337,0.006685472709,0.0189194295,0.003227495967,-0.02680320058
33,0.04062250728,-0.03076748004,0.006299632084,-0.0007978727603,0.003062860145,0.0449417824
34,0.03795954271,-0.03862203079,0.006559415406,0.02898596601,0.003232133695,0.01239365293
35,0.03669835507,0.005355757663,0.005953115924,-0.01832273765,0.00234472618,0.01585726642
36,0.0333906847,0.008722722711,0.004832349831,-0.03214340099,0.001898250748,-0.002739864369
37,0.02860346219,-0.01124488642,0.004630767996,-0.02152216988,0.002805383766,-0.008508356081
38,0.02805443616,-0.02642405716,0.004819499242,0.03667183905,0.002933310343,-0.02171337785
39,0.02644997527,-0.02527435829,0.005195276029,-0.04292947533,0.002965040998,0.0110602763
40,0.02426515547,-0.01201286763,0.005272692732,0.02422451374,0.002569793396,-0.02824629907
41,0.02241985018,0.006062552427,0.005358805902,-0.02103355127,0.002253541332,-0.03534255085
42,0.01910825762,0.01032972471,0.003533250517,-0.0326527611,0.001611454062,0.01571175317
43,0.01589963789,0.001248596946,0.002654861526,-0.0168260966,0.0005557371271,-0.004002964918
44,0.01447647606,-0.002258417422,0.002450107688,-0.02221548756,0.0001115327495,0.03587314143
45,0.01297039839,-0.005994475574,0.001768252373,-0.006366360872,-0.0003695988967,-0.004956243527
46,0.01068017398,0.03336237086,0.001512078678,-0.04771836039,-0.0004664420763,-0.0424529416
47,0.008114626237,-0.01258374375,0.001177353126,0.003011658117,-0.0005277203641,-0.01161125479
48,0.007761270991,-0.07440001175,0.0006565509547,-0.0239496164,-2.170618183e-05,0.04447035282
49,0.008826517624,-0.02836344644,0.0009181150259,0.008186563787,3.498069626e-05,-0.02391167369
50,0.00808721678,0.01045869371,0.001188775999,0.03918058512,-3.889260718e-05,-0.0006027309765
51,0.00762000184,-0.03087449171,0.001555933264,-0.02131767347,-0.0002270883437,0.001330096659
52,0.00703077082,0.01794539218,0.0008370406059,-0.04783287534,-6.257584313e-05,0.04497188411
53,0.006673383504,-0.03442139503,0.0005466465131,0.007249202715,0.0002358305849,-0.02357913427
54,0.005371339988,-0.01305521819,0.0004504858531,-0.04447613596,0.0002788757156,0.01212079988
55,0.005770643634,0.01044606672,0.0005241773005,-0.005261452418,-0.0005402753784,0.002596968207
56,0.005070383464,0.02743175524,8.035599373e-05,0.01779325221,-0.000665646411,0.009767576036
57,0.005117645253,0.01249454911,0.0001616238124,-0.01244824007,-0.0002588863916,0.004592574037
58,0.003299167033,0.004487885666,-0.0003518246298,-0.03512466013,-0.0005332463263,-0.01194047548
59,0.003632656149,0.0359977764,-0.0001442015991,-0.0299470686,-0.0007621277358,0.05108442583
60,0.003489458728,-0.02155460022,-0.0003399533688,0.00198378737,-0.0009559091501,-0.001433227014
61,0.00387462173,-0.00281263285,1.171052936e-05,0.01477416498,0.0004226666786,-0.01453089055
62,0.00319642896,-0.0447003974,1.382832231e-05,-0.0004107732254,0.0003704325684,-0.01507647407
63,0.003383698955,0.01619775618,4.410900486e-05,-0.02222484826,0.0004136235995,0.007741097796
64,0.003106746836,-0.04027428269,-7.662484598e-05,0.01398299518,0.000119641245,0.007144875584
65,0.002933952403,0.02727064232,7.142094901e-05,-0.01826979458,0.0003985862228,-0.04016065412
66,0.003102915965,0.02013397244,-3.190517367e-05,0.027768215,-0.0001732458909,0.03431803768
67,0.003028789627,-0.02334433686,0.0004311972895,0.02107718312,-0.0002436209006,-0.0284263447
68,0.002506318915,-0.03446795435,0.0003508546326,0.01434409874,-0.0004086519329,-0.005389361904
69,0.002589576621,0.04906108429,0.0006355361625,0.02259685256,-0.0001971508923,-0.07497512193
70,0.002242613295,-0.005464470187,0.0009243790518,0.004647574229,-4.546249009e-05,0.00545203556
71,0.002023984305,-0.04146435229,0.000635915637,0.02866206688,-8.46648971e-05,-0.05477878984
72,0.00202293888,0.005542796721,0.0007335931126,-0.007818178564,0.0005834793103,0.007779099169
73,0.001690956656,-0.009503728797,0.0006171423404,0.01122962983,0.0004556111573,0.02498570048
74,0.002352968373,-0.006635048963,0.0001849923484,0.04419560719,0.0005841103769,-0.007453659448
